0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:53:39 +0800] "GET /SpringBootDemo/main HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:53:40 +0800] "GET /SpringBootDemo/login HTTP/1.1" 404 258
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:59:16 +0800] "GET /SpringBootDemo/main/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:59:17 +0800] "GET /SpringBootDemo/login HTTP/1.1" 404 258
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:59:37 +0800] "GET /SpringBootDemo/main/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:59:37 +0800] "GET /SpringBootDemo/login HTTP/1.1" 404 259
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:01:35 +0800] "GET /SpringBootDemo/main/index HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:01:36 +0800] "GET /SpringBootDemo/static/js/common.js HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:01:36 +0800] "GET /SpringBootDemo/static/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:01:52 +0800] "POST /login HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:02:31 +0800] "GET /SpringBootDemo/main/index HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:02:31 +0800] "GET /SpringBootDemo/static/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:02:31 +0800] "GET /SpringBootDemo/static/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:02:59 +0800] "POST /SpringBootDemo/main/login HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:03:28 +0800] "POST /SpringBootDemo/main/login HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:03:28 +0800] "GET /SpringBootDemo/static/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:03:28 +0800] "GET /SpringBootDemo/static/js/common.js HTTP/1.1" 304 -
127.0.0.1 - - [20/Jun/2018:16:04:08 +0800] "POST /SpringBootDemo/main/login HTTP/1.1" 200 438
127.0.0.1 - - [20/Jun/2018:16:04:08 +0800] "GET /SpringBootDemo/static/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:04:08 +0800] "GET /SpringBootDemo/static/js/common.js HTTP/1.1" 304 -
127.0.0.1 - - [20/Jun/2018:16:04:14 +0800] "GET /SpringBootDemo/main/index HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:04:15 +0800] "GET /SpringBootDemo/static/js/common.js HTTP/1.1" 304 -
127.0.0.1 - - [20/Jun/2018:16:04:15 +0800] "GET /SpringBootDemo/static/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:04:15 +0800] "GET /SpringBootDemo/main/index HTTP/1.1" 200 433
